,Quarter,Tm,Detail,BAL,DET
0,1,Colts,Carl Taseff 1 yard rush (Buck McPhail kick),7,0
1,2,Lions,Bob Hoernschemeyer 10 yard pass from Bobby Layne (Doak Walker kick),7,7
2,3,Lions,Doak Walker 14 yard field goal,7,10
3,4,Lions,Leon Hart 8 yard pass from Bobby Layne (Doak Walker kick),7,17
