,Quarter,Tm,Detail,WAS,DAL
0,1.0,Redskins,Mark Moseley 25 yard field goal,3,0
1,1.0,Redskins,Mark Moseley 40 yard field goal,6,0
2,2.0,Cowboys,Golden Richards 50 yard pass from Roger Staubach (Efren Herrera kick),6,7
3,2.0,Cowboys,Robert Newhouse 7 yard rush (Efren Herrera kick),6,14
4,2.0,Redskins,Clarence Harmon 1 yard pass from Joe Theismann (Mark Moseley kick),13,14
5,3.0,Redskins,Mark Moseley 53 yard field goal,16,14
6,3.0,Cowboys,Efren Herrera 44 yard field goal,16,17
7,3.0,Cowboys,Efren Herrera 52 yard field goal,16,20
8,4.0,Cowboys,Drew Pearson 59 yard pass from Roger Staubach (Efren Herrera kick),16,27
9,4.0,Cowboys,Robert Newhouse 6 yard rush (Efren Herrera kick),16,34
