,Quarter,Time,Tm,Detail,OAK,TEN
0,3.0,8:46,Titans,Steve McNair 1 yard rush (Al Del Greco kick),0,7
1,3.0,2:36,Raiders,Zack Crockett 1 yard rush (Michael Husted kick),7,7
2,4.0,12:41,Titans,Eddie George 8 yard rush (Al Del Greco kick),7,14
3,4.0,8:01,Titans,Eddie George 19 yard rush (Al Del Greco kick),7,21
4,4.0,3:59,Raiders,Rickey Dudley 2 yard pass from Rich Gannon (Michael Husted kick),14,21
