,Quarter,Tm,Detail,NYG,CRD
0,1.0,Giants,Frank Gifford 31 yard field goal,3,0
1,1.0,Cardinals,Gern Nagler 12 yard pass from Steve Romanik (Pat Summerall kick),3,7
2,1.0,Giants,Eddie Price 9 yard rush (Randy Clay kick),10,7
3,1.0,Giants,Kyle Rote 13 yard pass from Charlie Conerly (Randy Clay kick),17,7
4,2.0,Cardinals,Pat Summerall 49 yard field goal,17,10
5,4.0,Cardinals,Johnny Olszewski 5 yard rush (Pat Summerall kick),17,17
6,4.0,Cardinals,Pat Summerall 10 yard field goal,17,20
7,4.0,Giants,Kyle Rote 75 yard pass from Arnie Galiffa,23,20
