,Quarter,Tm,Detail,CLE,PIT
0,1.0,Browns,Otto Graham 4 yard rush (Lou Groza kick),7,0
1,1.0,Browns,Lou Groza 16 yard field goal,10,0
2,2.0,Browns,Ray Renfro 46 yard pass from Otto Graham (Lou Groza kick),17,0
3,2.0,Browns,Lou Groza 22 yard field goal,20,0
4,3.0,Browns,Pete Brewster 17 yard pass from Otto Graham (Lou Groza kick),27,0
5,3.0,Browns,Lou Groza 46 yard field goal,30,0
6,4.0,Steelers,Joe O'Malley fumble recovery in end zone (Tad Weed kick),30,7
