,Quarter,Tm,Detail,BAL,DAL
0,1.0,Colts,Roosevelt Leaks 3 yard rush (Toni Linhart kick),7,0
1,2.0,Cowboys,Golden Richards 39 yard pass from Drew Pearson (Efren Herrera kick),7,7
2,2.0,Colts,Bert Jones 6 yard rush (Toni Linhart kick),14,7
3,3.0,Cowboys,Efren Herrera 37 yard field goal,14,10
4,3.0,Colts,Toni Linhart 30 yard field goal,17,10
5,3.0,Cowboys,Golden Richards 31 yard pass from Roger Staubach (Efren Herrera kick),17,17
6,4.0,Cowboys,Efren Herrera 18 yard field goal,17,20
7,4.0,Colts,Don McCauley 2 yard rush (Toni Linhart kick),24,20
8,4.0,Cowboys,Billy Joe DuPree 38 yard pass from Roger Staubach (Efren Herrera kick),24,27
9,4.0,Colts,Toni Linhart 24 yard field goal,27,27
10,4.0,Cowboys,Efren Herrera 32 yard field goal,27,30
