,Quarter,Tm,Detail,NYG,DAL
0,1.0,Cowboys,Tony Hill 17 yard pass from Roger Staubach (Rafael Septien kick),0,7
1,2.0,Giants,Joe Danelo 37 yard field goal,3,7
2,2.0,Cowboys,Billy Joe DuPree 23 yard pass from Roger Staubach (Rafael Septien kick),3,14
3,3.0,Cowboys,Tony Hill 30 yard pass from Roger Staubach (Rafael Septien kick),3,21
4,4.0,Cowboys,Rafael Septien 22 yard field goal,3,24
