,Quarter,Tm,Detail,HOU,NWE
0,1.0,Patriots,David Posey 32 yard field goal,0,3
1,1.0,Patriots,David Posey 34 yard field goal,0,6
2,2.0,Patriots,Horace Ivory 3 yard rush (David Posey kick),0,13
3,2.0,Patriots,David Posey 37 yard field goal,0,16
4,2.0,Patriots,Steve Grogan 7 yard rush (David Posey kick),0,23
5,2.0,Oilers,Rob Carpenter 8 yard rush (Toni Fritsch kick),7,23
6,3.0,Oilers,Rob Carpenter 1 yard rush (Toni Fritsch kick),14,23
7,4.0,Oilers,Earl Campbell 1 yard rush,20,23
8,4.0,Oilers,Rich Caster 10 yard pass from Dan Pastorini,26,23
