,Quarter,Tm,Detail,BUF,RAI
0,1.0,Raiders,Eric Dickerson 2 yard pass from Todd Marinovich (Jeff Jaeger kick),0,7
1,2.0,Bills,Steve Christie 25 yard field goal,3,7
2,2.0,Raiders,Tim Brown 52 yard pass from Todd Marinovich (Jeff Jaeger kick),3,14
3,2.0,Raiders,Jeff Jaeger 45 yard field goal,3,17
4,3.0,Raiders,Jeff Jaeger 36 yard field goal,3,20
