,Quarter,Time,Tm,Detail,MIN,CHI
0,2.0,,Vikings,Terry Allen 12 yard rush (Fuad Reveiz kick),7,0
1,2.0,,Vikings,Fuad Reveiz 43 yard field goal,10,0
2,3.0,,Vikings,Fuad Reveiz 24 yard field goal,13,0
3,3.0,11:49,Vikings,Jake Reed 18 yard pass from Warren Moon (Fuad Reveiz kick),20,0
4,3.0,11:49,Vikings,Dewayne Washington 81 yard interception return (Cris Carter pass from Warren Moon),28,0
5,4.0,11:49,Vikings,Terry Allen 1 yard rush (Fuad Reveiz kick),35,0
6,4.0,11:49,Bears,Tim Worley 1 yard rush (pass failed),35,6
7,4.0,11:49,Vikings,Robert Smith 14 yard rush (Fuad Reveiz kick),42,6
8,4.0,11:49,Bears,Tom Waddle 8 yard pass from Erik Kramer (Jeff Graham pass from Erik Kramer),42,14
