,Quarter,Tm,Detail,NYG,PHI
0,1.0,Eagles,Jim Leonard 1 yard rush (Hank Reese kick),0,7
1,2.0,Eagles,Eggs Manske 59 yard pass from Ed Storm (Hank Reese kick),0,14
2,2.0,Giants,Ed Danowski 5 yard rush (Bo Molenda kick),7,14
3,2.0,Giants,Walt Singer 7 yard pass from Ed Danowski (Bo Molenda kick),14,14
4,4.0,Giants,Kink Richards 31 yard rush (Kink Richards kick),21,14
