,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,Keith Woodside 2 yard rush (Dean Dorsey kick),0,7
1,2.0,Vikings,Chuck Nelson 38 yard field goal,3,7
2,2.0,Packers,Dean Dorsey 20 yard field goal,3,10
3,3.0,Packers,Patrick Scott 11 yard pass from Don Majkowski,3,16
4,4.0,Vikings,Chuck Nelson 37 yard field goal,6,16
5,4.0,Packers,"Safety, Weddington and Harris tackled Wilson in end zone",6,18
