,Quarter,Tm,Detail,MIA,NWE
0,1.0,Dolphins,Delvin Williams 1 yard rush (Garo Yepremian kick),7,0
1,2.0,Patriots,Andy Johnson 1 yard rush (David Posey kick),7,7
2,2.0,Patriots,Sam Cunningham 1 yard rush (David Posey kick),7,14
3,2.0,Dolphins,Nat Moore 9 yard pass from Bob Griese (Garo Yepremian kick),14,14
4,2.0,Patriots,David Posey 29 yard field goal,14,17
5,3.0,Dolphins,Andre Tillman 4 yard pass from Bob Griese (Garo Yepremian kick),21,17
6,3.0,Patriots,Horace Ivory 1 yard rush (David Posey kick),21,24
7,4.0,Dolphins,Garo Yepremian 29 yard field goal,24,24
8,4.0,Patriots,Horace Ivory 23 yard rush (David Posey kick),24,31
9,4.0,Patriots,"Safety, Bishop tackled Griese in end zone",24,33
