,Quarter,Tm,Detail,PHI,RAM
0,1.0,Rams,Johnny Drake 2 yard rush,0,6
1,1.0,Rams,Johnny Drake unknown yard rush (Pete Gudauskas kick),0,13
2,2.0,Eagles,Don Looney 10 yard pass from Davey O'Brien (John Cole kick),7,13
3,2.0,Rams,Johnny Drake 8 yard rush,7,19
4,4.0,Eagles,Don Looney 23 yard pass from Foster Watkins,13,19
5,4.0,Rams,"Safety, OBrien tackled in end zone",13,21
