,Quarter,Time,Tm,Detail,TAM,STL
0,2.0,12:22,Buccaneers,Martin Gramatica 25 yard field goal,3,0
1,1.0,4:17,Rams,Jeff Wilkins 24 yard field goal,3,3
2,2.0,14:55,Rams,"Safety, Mayberrys Shotgun snap went out of end zone",3,5
3,4.0,10:28,Buccaneers,Martin Gramatica 23 yard field goal,6,5
4,4.0,4:44,Rams,Ricky Proehl 30 yard pass from Kurt Warner (pass failed),6,11
