,Quarter,Tm,Detail,ATL,GNB
0,1.0,Packers,Elijah Pitts 3 yard rush (Don Chandler kick),0,7
1,2.0,Packers,Jim Taylor 1 yard rush (Don Chandler kick),0,14
2,2.0,Packers,Carroll Dale 51 yard pass from Bart Starr (Don Chandler kick),0,21
3,2.0,Packers,Donny Anderson 5 yard rush (Don Chandler kick),0,28
4,3.0,Falcons,Lou Kirouac 41 yard field goal,3,28
5,3.0,Packers,Herb Adderley 68 yard interception return (Don Chandler kick),3,35
6,4.0,Packers,Max McGee 24 yard pass from Zeke Bratkowski (Don Chandler kick),3,42
7,4.0,Packers,Donny Anderson 77 yard punt return (Don Chandler kick),3,49
8,4.0,Packers,Doug Hart 40 yard interception return (Don Chandler kick),3,56
