,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Jets,Cary Blanchard 41 yard field goal,3,0
1,1.0,Bills,Steve Christie 26 yard field goal,3,3
2,2.0,Bills,Kenneth Davis 6 yard rush (Steve Christie kick),3,10
3,3.0,Jets,Brad Baxter 1 yard rush (Cary Blanchard kick),10,10
4,3.0,Jets,Brad Baxter 9 yard rush (Cary Blanchard kick),17,10
5,4.0,Bills,Pete Metzelaars 1 yard pass from Jim Kelly (Steve Christie kick),17,17
6,4.0,Jets,Brian Washington 23 yard interception return (Cary Blanchard kick),24,17
