,Quarter,Time,Tm,Detail,NWE,BUF
0,1,0:00,Patriots,Adam Vinatieri 22 yard field goal,3,0
1,2,6:19,Bills,Steve Christie 25 yard field goal,3,3
2,4,11:31,Bills,Sheldon Jackson 1 yard pass from Doug Flutie (Steve Christie kick),3,10
3,4,4:45,Patriots,Kevin Faulk 13 yard rush (Adam Vinatieri kick),10,10
4,OT,0:19,Patriots,Adam Vinatieri 24 yard field goal,13,10
