,Quarter,Time,Tm,Detail,MIA,SEA
0,1.0,6:18,Seahawks,Sean Dawkins 9 yard pass from Jon Kitna (Todd Peterson kick),0,7
1,1.0,2:05,Dolphins,Olindo Mare 32 yard field goal,3,7
2,2.0,0:45,Seahawks,Todd Peterson 50 yard field goal,3,10
3,3.0,8:55,Dolphins,Oronde Gadsden 1 yard pass from Dan Marino (Olindo Mare kick),10,10
4,3.0,8:55,Seahawks,Charlie Rogers 85 yard kickoff return (Todd Peterson kick),10,17
5,3.0,2:22,Dolphins,Olindo Mare 50 yard field goal,13,17
6,4.0,4:48,Dolphins,J.J. Johnson 2 yard rush (Olindo Mare kick),20,17
