,Quarter,Tm,Detail,DET,SFO
0,1.0,49ers,Steve Mike-Mayer 25 yard field goal,0,3
1,2.0,49ers,Norm Snead 1 yard rush (Steve Mike-Mayer kick),0,10
2,3.0,Lions,Ray Jarvis 10 yard pass from Joe Reed (Errol Mann kick),7,10
3,3.0,49ers,Tom Mitchell 11 yard pass from Norm Snead (Steve Mike-Mayer kick),7,17
4,3.0,Lions,Dexter Bussey 65 yard pass from Joe Reed (Errol Mann kick),14,17
5,3.0,Lions,Altie Taylor 2 yard rush (Errol Mann kick),21,17
6,4.0,Lions,Ed O'Neil 49 yard defensive fumble return (Errol Mann kick),28,17
