,Quarter,Tm,Detail,BAL,SFO
0,1.0,49ers,John Brodie 2 yard rush (Tommy Davis kick),0,7
1,2.0,Colts,Steve Myhra 35 yard field goal,3,7
2,2.0,49ers,Tommy Davis 36 yard field goal,3,10
3,2.0,Colts,Billy Pricer 13 yard pass from Johnny Unitas (Steve Myhra kick),10,10
4,2.0,49ers,Lenny Lyles 97 yard kickoff return (Tommy Davis kick),10,17
5,3.0,49ers,J.D. Smith 14 yard rush (Tommy Davis kick),10,24
6,3.0,49ers,Tommy Davis 37 yard field goal,10,27
7,4.0,49ers,R.C. Owens 7 yard pass from John Brodie (Tommy Davis kick),10,34
