,Quarter,Tm,Detail,CIN,CHI
0,2.0,Bengals,Essex Johnson 26 yard pass from Virgil Carter (Horst Muhlmann kick),7,0
1,2.0,Bengals,Horst Muhlmann 14 yard field goal,10,0
2,3.0,Bears,Mac Percival 9 yard field goal,10,3
3,4.0,Bengals,Horst Muhlmann 39 yard field goal,13,3
