,Quarter,Tm,Detail,GNB,PHI
0,1.0,Packers,Tom Moore 3 yard rush (Jerry Kramer kick),7,0
1,2.0,Packers,Jim Taylor 5 yard rush (Jerry Kramer kick),14,0
2,2.0,Packers,Tom Moore 7 yard rush (Jerry Kramer kick),21,0
3,2.0,Packers,Boyd Dowler 25 yard pass from Tom Moore (Jerry Kramer kick),28,0
4,2.0,Packers,Jim Taylor 1 yard rush (Jerry Kramer kick),35,0
5,3.0,Packers,Jim Taylor 4 yard rush (Jerry Kramer kick),42,0
6,3.0,Packers,Jim Taylor 5 yard rush (Jerry Kramer kick),49,0
