,Quarter,Tm,Detail,TAM,NYJ
0,1.0,Jets,Clark Gaines 14 yard rush (Pat Leahy kick),0,7
1,2.0,Jets,Rich Caster 3 yard pass from Joe Namath (Pat Leahy kick),0,14
2,2.0,Jets,Pat Leahy 21 yard field goal,0,17
3,2.0,Jets,Steve Davis 5 yard rush (Pat Leahy kick),0,24
4,3.0,Jets,Lou Piccone 60 yard punt return (Pat Leahy kick),0,31
5,4.0,Jets,Pat Leahy 30 yard field goal,0,34
