,Quarter,Tm,Detail,BKN,PHI
0,1.0,Dodgers,Pug Manders 3 yard rush (Merl Condit kick),7,0
1,1.0,Dodgers,Pug Manders 2 yard rush (Merl Condit kick),14,0
2,2.0,Eagles,Bert Johnson 65 yard pass from Tommy Thompson (Len Barnum kick),14,7
3,2.0,Dodgers,Gerry Courtney 11 yard rush (Merl Condit kick),21,7
4,3.0,Dodgers,Rhoten Shetley 9 yard pass from Dean McAdams (Merl Condit kick),28,7
5,3.0,Dodgers,Pug Manders 5 yard rush (Merl Condit kick),35,7
6,4.0,Eagles,Bob Davis 21 yard pass from Tommy Thompson (Dick Erdlitz kick),35,14
