,Quarter,Time,Tm,Detail,NWE,PIT
0,1.0,9:08,Steelers,Mewelde Moore 5 yard pass from Ben Roethlisberger (Shaun Suisham kick),0,7
1,2.0,14:57,Steelers,Shaun Suisham 33 yard field goal,0,10
2,2.0,8:20,Patriots,Deion Branch 2 yard pass from Tom Brady (Stephen Gostkowski kick),7,10
3,2.0,2:41,Steelers,Antonio Brown 7 yard pass from Ben Roethlisberger (Shaun Suisham kick),7,17
4,2.0,0:29,Patriots,Stephen Gostkowski 46 yard field goal,10,17
5,3.0,6:11,Steelers,Shaun Suisham 21 yard field goal,10,20
6,4.0,11:26,Steelers,Shaun Suisham 23 yard field goal,10,23
7,4.0,2:35,Patriots,Aaron Hernandez 1 yard pass from Tom Brady (Stephen Gostkowski kick),17,23
8,4.0,0:08,Steelers,"Safety, Tom Brady fumble forced by Brett Keisel out of bounds in end zone for a Safety.",17,25
