,Quarter,Tm,Detail,ATL,MIA
0,1.0,Falcons,Gerald Riggs 1 yard rush (Ali Haji-Sheikh kick),7,0
1,1.0,Falcons,Ali Haji-Sheikh 32 yard field goal,10,0
2,3.0,Dolphins,Mark Duper 54 yard pass from Dan Marino (Fuad Reveiz kick),10,7
3,4.0,Falcons,Turk Schonert 4 yard rush (Ali Haji-Sheikh kick),17,7
4,4.0,Falcons,Ali Haji-Sheikh 47 yard field goal,20,7
5,4.0,Dolphins,Jim Jensen 20 yard pass from Dan Marino (Fuad Reveiz kick),20,14
