,Quarter,Tm,Detail,DET,KAN
0,2.0,Chiefs,Nick Lowery 52 yard field goal,0,3
1,2.0,Chiefs,Mike Williams 3 yard pass from Steve Fuller (Nick Lowery kick),0,10
2,2.0,Lions,Eddie Murray 20 yard field goal,3,10
3,3.0,Lions,Billy Sims 45 yard rush (Eddie Murray kick),10,10
4,4.0,Chiefs,Steve Fuller 1 yard rush (Nick Lowery kick),10,17
5,4.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),17,17
6,4.0,Chiefs,Nick Lowery 40 yard field goal,17,20
