,Quarter,Time,Tm,Detail,SDG,JAX
0,1.0,5:43,Jaguars,Fred Taylor 1 yard rush (Seth Marler kick),0,7
1,2.0,9:56,Chargers,David Boston 46 yard pass from Drew Brees (Steve Christie kick),7,7
2,2.0,0:00,Jaguars,Seth Marler 53 yard field goal,7,10
3,3.0,6:39,Jaguars,Troy Edwards 18 yard pass from Byron Leftwich (Seth Marler kick),7,17
4,3.0,2:38,Jaguars,Seth Marler 27 yard field goal,7,20
5,4.0,4:19,Chargers,Eric Parker 33 yard pass from Drew Brees (Steve Christie kick),14,20
6,4.0,1:47,Jaguars,Fred Taylor 60 yard pass from Byron Leftwich (Seth Marler kick),14,27
7,4.0,0:20,Chargers,David Boston 13 yard pass from Drew Brees (Steve Christie kick),21,27
