,Quarter,Tm,Detail,DEN,BAL
0,1.0,Broncos,Riley Odoms 1 yard pass from Charley Johnson (Jim Turner kick),7,0
1,2.0,Colts,Toni Linhart 21 yard field goal,7,3
2,2.0,Broncos,Otis Armstrong 37 yard rush (Jim Turner kick),14,3
3,3.0,Colts,Toni Linhart 26 yard field goal,14,6
4,3.0,Broncos,Jim Turner 37 yard field goal,17,6
