,Quarter,Tm,Detail,COL,POT
0,1,Maroons,Tony Latone 1 yard rush (Charlie Berry kick),0,7
1,2,Maroons,Frank Bucher 7 yard pass from Jack Ernst (Charlie Berry kick),0,14
2,3,Maroons,Walter French 30 yard rush,0,20
