,Quarter,Tm,Detail,WAS,OAK
0,1.0,Raiders,Chris Bahr 21 yard field goal,0,3
1,2.0,Raiders,Dave Casper 20 yard pass from Dan Pastorini (Chris Bahr kick),0,10
2,2.0,Redskins,Rick Walker 15 yard pass from Joe Theismann (Mark Moseley kick),7,10
3,3.0,Raiders,Arthur Whittington 42 yard rush (Chris Bahr kick),7,17
4,3.0,Redskins,Joe Theismann 4 yard rush (Mark Moseley kick),14,17
5,4.0,Raiders,Bob Chandler 5 yard pass from Dan Pastorini (Chris Bahr kick),14,24
6,4.0,Redskins,Ricky Thompson 3 yard pass from Joe Theismann (Mark Moseley kick),21,24
