,Quarter,Time,Tm,Detail,BUF,SEA
0,1.0,12:30,Seahawks,Derrick Mayes 7 yard pass from Jon Kitna (Todd Peterson kick),0,7
1,1.0,5:47,Seahawks,Todd Peterson 40 yard field goal,0,10
2,1.0,1:39,Seahawks,Todd Peterson 21 yard field goal,0,13
3,2.0,7:36,Seahawks,Derrick Mayes 43 yard pass from Jon Kitna (Todd Peterson kick),0,20
4,2.0,0:17,Seahawks,Todd Peterson 42 yard field goal,0,23
5,2.0,0:00,Bills,Steve Christie 50 yard field goal,3,23
6,3.0,1:59,Bills,Peerless Price 18 yard pass from Doug Flutie,9,23
7,4.0,10:02,Seahawks,Todd Peterson 34 yard field goal,9,26
8,4.0,7:32,Bills,Jay Riemersma 1 yard pass from Doug Flutie (Steve Christie kick),16,26
