,Quarter,Time,Tm,Detail,MIA,MIN
0,1.0,,Vikings,Cris Carter 2 yard pass from Warren Moon (Fuad Reveiz kick),0,7
1,1.0,,Vikings,Terry Allen 8 yard rush (Fuad Reveiz kick),0,14
2,2.0,,Vikings,Cris Carter 44 yard pass from Warren Moon (Fuad Reveiz kick),0,21
3,2.0,,Vikings,Cris Carter 8 yard pass from Warren Moon (Fuad Reveiz kick),0,28
4,2.0,,Dolphins,O.J. McDuffie 26 yard pass from Dan Marino (run failed),6,28
5,3.0,,Dolphins,Greg Baty 3 yard pass from Dan Marino (Irving Fryar pass from Dan Marino),14,28
6,3.0,,Dolphins,Keith Jackson 25 yard pass from Dan Marino (Pete Stoyanovich kick),21,28
7,4.0,,Dolphins,Bernie Parmalee 10 yard rush (Pete Stoyanovich kick),28,28
8,4.0,,Vikings,Scottie Graham 3 yard rush (Fuad Reveiz kick),28,35
9,4.0,,Vikings,Fuad Reveiz 38 yard field goal,28,38
10,4.0,,Dolphins,Keith Byars 1 yard rush (Pete Stoyanovich kick),35,38
