,Quarter,Tm,Detail,NYG,ATL
0,1.0,Giants,Larry Csonka 6 yard rush (Joe Danelo kick),7,0
1,1.0,Giants,George Martin 83 yard blocked field goal return (Joe Danelo kick),14,0
2,2.0,Falcons,Wallace Francis 54 yard pass from Steve Bartkowski (Fred Steinfort kick),14,7
3,2.0,Falcons,"Safety, McClain tackled Pisarcik in end zone",14,9
4,3.0,Falcons,Steve Bartkowski 1 yard rush (Fred Steinfort kick),14,16
5,4.0,Giants,Joe Danelo 23 yard field goal,17,16
6,4.0,Giants,Joe Danelo 45 yard field goal,20,16
7,4.0,Falcons,Haskel Stanback 9 yard rush (Fred Steinfort kick),20,23
