,Quarter,Tm,Detail,STL,CHI
0,2.0,Cardinals,Wayne Morris 1 yard rush (Neil O'Donoghue kick),7,0
1,4.0,Bears,Emery Moorehead 9 yard pass from Jim McMahon (John Roveto kick),7,7
2,4.0,Cardinals,Neil O'Donoghue 48 yard field goal,10,7
