,Quarter,Tm,Detail,WAS,PIT
0,1.0,Redskins,Charlie Gogolak 41 yard field goal,3,0
1,1.0,Redskins,Charlie Gogolak 47 yard field goal,6,0
2,1.0,Redskins,Charlie Gogolak 29 yard field goal,9,0
3,2.0,Steelers,Gary Ballman 49 yard pass from Ron Smith (Mike Clark kick),9,7
4,2.0,Steelers,Jim Bradshaw 27 yard interception return (Mike Clark kick),9,14
5,3.0,Steelers,Gary Ballman 79 yard pass from Ron Smith (Mike Clark kick),9,21
6,3.0,Redskins,Charley Taylor 4 yard pass from Sonny Jurgensen (Charlie Gogolak kick),16,21
7,3.0,Steelers,Mike Clark 47 yard field goal,16,24
8,3.0,Redskins,Bobby Mitchell 35 yard pass from Sonny Jurgensen (Charlie Gogolak kick),23,24
9,3.0,Redskins,Charley Taylor 2 yard rush (Charlie Gogolak kick),30,24
10,4.0,Redskins,Charlie Gogolak 15 yard field goal,33,24
11,4.0,Steelers,Mike Clark 42 yard field goal,33,27
