,Quarter,Tm,Detail,CLE,CIN
0,1.0,Browns,Dave Logan 33 yard pass from Brian Sipe,6,0
1,2.0,Bengals,Pete Johnson 1 yard rush (pass failed),6,6
2,3.0,Bengals,Jack Thompson 5 yard rush (Chris Bahr kick),6,13
3,4.0,Browns,Mike Pruitt 1 yard rush (run failed),12,13
4,4.0,Bengals,Chris Bahr 43 yard field goal,12,16
