,Quarter,Tm,Detail,PIT,STL
0,1,Cardinals,Sonny Randle 3 yard pass from Sam Etcheverry (Gerry Perry kick),0,7
1,3,Cardinals,Billy Stacy 25 yard defensive fumble return,0,13
2,4,Cardinals,John David Crow 15 yard pass from Sam Etcheverry (Gerry Perry kick),0,20
