,Quarter,Tm,Detail,PHI,RAM
0,1.0,Rams,Bill Lazetich 5 yard pass from Parker Hall (Vic Spadaccini kick),0,7
1,2.0,Rams,Paul McDonough 19 yard pass from Marty Slovak (Vic Spadaccini kick),0,14
2,3.0,Rams,Johnny Drake unknown yard rush (Corby Davis kick),0,21
3,4.0,Eagles,Fran Murray 45 yard pass from Davey O'Brien (Fran Murray kick),7,21
4,4.0,Rams,Jerry Dowd 24 yard interception return (Corby Davis kick),7,28
5,4.0,Eagles,Jay Arnold 36 yard pass from Davey O'Brien,13,28
6,4.0,Rams,Corby Davis 5 yard rush (Corby Davis kick),13,35
