,Quarter,Tm,Detail,RAM,GNB
0,1.0,Rams,Andy Robustelli 18 yard fumble return (Les Richter kick),7,0
1,1.0,Packers,Fred Cone 34 yard field goal,7,3
2,1.0,Packers,Veryl Switzer 7 yard pass from Tobin Rote (Fred Cone kick),7,10
3,2.0,Packers,Gary Knafelc 16 yard pass from Tobin Rote (Fred Cone kick),7,17
4,3.0,Packers,Billy Howton 57 yard pass from Tobin Rote (Fred Cone kick),7,24
5,3.0,Rams,Ron Waller 15 yard pass from Billy Wade (Les Richter kick),14,24
6,4.0,Rams,Ron Waller 5 yard rush (Les Richter kick),21,24
7,4.0,Packers,Fred Cone 45 yard field goal,21,27
8,4.0,Rams,Jim Cason 25 yard interception return (Les Richter kick),28,27
9,4.0,Packers,Fred Cone 25 yard field goal,28,30
