,Quarter,Tm,Detail,NYG,FRN
0,1,Yellow Jackets,"Safety, blocked punt",0,2
1,2,Giants,Matt Brennan 15 yard field goal,3,2
2,3,Yellow Jackets,Bull Behman 40 yard field goal,3,5
