,Quarter,Tm,Detail,CRD,WAS
0,2,Redskins,George Thomas 49 yard pass from Sammy Baugh (Bill Dudley kick),0,7
1,3,Cardinals,Vinnie Yablonski 31 yard field goal,3,7
