,Quarter,Tm,Detail,DET,CLE
0,1.0,Lions,Jim Martin 43 yard field goal,3,0
1,2.0,Browns,Lou Groza 11 yard field goal,3,3
2,2.0,Lions,Jim Martin 37 yard field goal,6,3
3,2.0,Lions,Jim Gibbons 4 yard pass from Tobin Rote (Jim Martin kick),13,3
4,2.0,Lions,Howard Cassady 34 yard pass from Tobin Rote (Jim Martin kick),20,3
5,3.0,Lions,Gene Gedman 13 yard pass from Tobin Rote (Jim Martin kick),27,3
6,4.0,Lions,Jim Martin 48 yard field goal,30,3
7,4.0,Browns,Ray Renfro 12 yard pass from Milt Plum (Lou Groza kick),30,10
