,Quarter,Tm,Detail,HOU,PIT
0,2.0,Steelers,Frank Pollard 1 yard rush (Gary Anderson kick),0,7
1,2.0,Oilers,Florian Kempf 34 yard field goal,3,7
2,3.0,Oilers,Earl Campbell 1 yard rush (Florian Kempf kick),10,7
3,4.0,Steelers,Walter Abercrombie 51 yard pass from Cliff Stoudt (Gary Anderson kick),10,14
4,4.0,Steelers,Gary Anderson 18 yard field goal,10,17
