,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Jim Martin 32 yard field goal,0,3
1,1.0,Rams,Danny Villanueva 24 yard field goal,3,3
2,3.0,Lions,Nick Pietrosante 16 yard rush,3,9
3,4.0,Lions,Jim Martin 13 yard field goal,3,12
4,4.0,Rams,Red Phillips 41 yard pass from Billy Wade (Danny Villanueva kick),10,12
