,Quarter,Tm,Detail,PHI,PIT
0,2.0,Eagles,Sam Baker 38 yard field goal,3,0
1,4.0,Steelers,Booth Lusteg 34 yard field goal,3,3
2,4.0,Steelers,Booth Lusteg 15 yard field goal,3,6
