,Quarter,Time,Tm,Detail,NOR,ATL
0,1.0,,Falcons,Morten Andersen 43 yard field goal,0,3
1,2.0,,Falcons,Morten Andersen 22 yard field goal,0,6
2,2.0,,Saints,Doug Brien 21 yard field goal,3,6
3,3.0,,Falcons,Bert Emanuel 36 yard pass from Chris Chandler (Morten Andersen kick),3,13
4,4.0,2:59,Falcons,Terance Mathis 4 yard pass from Chris Chandler (Morten Andersen kick),3,20
