,Quarter,Tm,Detail,DEN,OAK
0,1.0,Broncos,Jim Turner 18 yard field goal,3,0
1,2.0,Raiders,Harold Hart 2 yard rush (George Blanda kick),3,7
2,3.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),3,14
3,4.0,Broncos,Fran Lynch 5 yard rush (Jim Turner kick),10,14
4,4.0,Raiders,George Blanda 18 yard field goal,10,17
