,Quarter,Tm,Detail,TAM,ATL
0,1.0,Falcons,Greg Davis 40 yard field goal,0,3
1,2.0,Falcons,John Settle 8 yard rush (Greg Davis kick),0,10
2,3.0,Buccaneers,John Carney 24 yard field goal,3,10
3,3.0,Buccaneers,Lars Tate 2 yard rush (John Carney kick),10,10
4,4.0,Falcons,Michael Haynes 37 yard pass from Chris Miller (Greg Davis kick),10,17
