,Quarter,Tm,Detail,RAM,NYG
0,1,Rams,Wendell Tyler 2 yard rush (Frank Corral kick),7,0
1,3,Giants,Rob Carpenter 1 yard rush (Joe Danelo kick),7,7
2,4,Giants,Joe Danelo 19 yard field goal,7,10
