,Quarter,Tm,Detail,CHI,DEN
0,1.0,Broncos,Jim Turner 45 yard field goal,0,3
1,3.0,Bears,Roland Harper 33 yard pass from Bob Avellini (Bob Thomas kick),7,3
2,4.0,Broncos,Jon Keyworth 4 yard rush (Jim Turner kick),7,10
3,4.0,Broncos,Otis Armstrong 9 yard pass from Craig Morton,7,16
