,Quarter,Tm,Detail,BUF,MIA
0,1.0,Bills,Joe Cribbs 62 yard rush (Efren Herrera kick),7,0
1,1.0,Bills,Efren Herrera 33 yard field goal,10,0
2,2.0,Dolphins,Tony Nathan 1 yard rush (Uwe von Schamann kick),10,7
3,3.0,Dolphins,Uwe von Schamann 35 yard field goal,10,10
4,3.0,Dolphins,Andra Franklin 2 yard rush (Uwe von Schamann kick),10,17
5,3.0,Dolphins,Uwe von Schamann 30 yard field goal,10,20
6,4.0,Dolphins,Andra Franklin 6 yard rush (Uwe von Schamann kick),10,27
