,Quarter,Tm,Detail,KAN,SEA
0,1.0,Seahawks,Norm Johnson 18 yard field goal,0,3
1,1.0,Chiefs,Nick Lowery 27 yard field goal,3,3
2,2.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),3,10
3,2.0,Seahawks,Curt Warner 3 yard rush (Norm Johnson kick),3,17
4,2.0,Seahawks,Brian Blades 17 yard pass from Dave Krieg (Norm Johnson kick),3,24
5,2.0,Seahawks,Jacob Green defensive fumble recovery in end zone (Norm Johnson kick),3,31
6,4.0,Chiefs,Stephone Paige 15 yard pass from Steve DeBerg (Nick Lowery kick),10,31
