,Quarter,Tm,Detail,RAM,ATL
0,1.0,Rams,Harold Jackson 27 yard pass from Joe Namath,6,0
1,2.0,Falcons,Haskel Stanback 1 yard rush (Nick Mike-Mayer kick),6,7
2,2.0,Falcons,Nick Mike-Mayer 33 yard field goal,6,10
3,3.0,Falcons,Scott Hunter 1 yard rush (Nick Mike-Mayer kick),6,17
