,Quarter,Time,Tm,Detail,PIT,DAL
0,1.0,,Cowboys,Chris Boniol 42 yard field goal,0,3
1,1.0,,Cowboys,Jay Novacek 3 yard pass from Troy Aikman (Chris Boniol kick),0,10
2,2.0,,Cowboys,Chris Boniol 35 yard field goal,0,13
3,2.0,,Steelers,Yancey Thigpen 6 yard pass from Neil O'Donnell (Norm Johnson kick),7,13
4,3.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),7,20
5,4.0,,Steelers,Norm Johnson 46 yard field goal,10,20
6,4.0,,Steelers,Bam Morris 1 yard rush (Norm Johnson kick),17,20
7,4.0,,Cowboys,Emmitt Smith 4 yard rush (Chris Boniol kick),17,27
