,Quarter,Tm,Detail,DAL,RAM
0,1.0,Rams,Cleveland Gary 16 yard rush (Mike Lansford kick),0,7
1,1.0,Cowboys,Michael Irvin 10 yard pass from Troy Aikman (Ken Willis kick),7,7
2,2.0,Rams,Cleveland Gary 4 yard rush (Mike Lansford kick),7,14
3,2.0,Cowboys,Tommie Agee 6 yard pass from Troy Aikman (Ken Willis kick),14,14
4,2.0,Cowboys,Michael Irvin 61 yard pass from Troy Aikman (Ken Willis kick),21,14
5,3.0,Rams,Cleveland Gary 1 yard rush (Mike Lansford kick),21,21
6,4.0,Cowboys,Ken Willis 23 yard field goal,24,21
