,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Dolphins,Benny Malone 5 yard rush (Garo Yepremian kick),0,7
1,2.0,Dolphins,Loaird McCreary 1 yard pass from Bob Griese (Garo Yepremian kick),0,14
2,2.0,Dolphins,Nat Moore 9 yard pass from Bob Griese (Garo Yepremian kick),0,21
3,2.0,Jets,Pat Leahy 30 yard field goal,3,21
4,3.0,Jets,Clark Gaines 1 yard rush (Pat Leahy kick),10,21
5,4.0,Jets,Clark Gaines 1 yard rush (Pat Leahy kick),17,21
