,Quarter,Tm,Detail,SFO,RAM
0,1.0,49ers,Wilbur Jackson 2 yard rush (Ray Wersching kick),7,0
1,1.0,49ers,Ray Wersching 32 yard field goal,10,0
2,2.0,Rams,Charle Young 4 yard pass from Pat Haden (Frank Corral kick),10,7
3,2.0,Rams,Cullen Bryant 1 yard rush (Frank Corral kick),10,14
4,3.0,Rams,Terry Nelson 10 yard pass from Pat Haden (Frank Corral kick),10,21
5,4.0,Rams,Frank Corral 49 yard field goal,10,24
6,4.0,49ers,Mike Shumann 5 yard pass from Steve DeBerg (Ray Wersching kick),17,24
7,4.0,Rams,Frank Corral 43 yard field goal,17,27
8,4.0,49ers,Mike Shumann 11 yard pass from Steve DeBerg (Ray Wersching kick),24,27
