,Quarter,Time,Tm,Detail,CIN,TEN
0,1.0,8:45,Titans,Yancey Thigpen 56 yard pass from Steve McNair (Al Del Greco kick),0,7
1,1.0,2:48,Titans,Eddie George 5 yard rush (Al Del Greco kick),0,14
2,2.0,13:57,Bengals,Neil Rackers 45 yard field goal,3,14
3,2.0,8:57,Titans,Eddie George 7 yard pass from Steve McNair (Al Del Greco kick),3,21
4,3.0,8:53,Titans,Eddie George 3 yard pass from Steve McNair (Al Del Greco kick),3,28
5,4.0,8:23,Titans,Lorenzo Neal 1 yard pass from Neil O'Donnell (Al Del Greco kick),3,35
