,Quarter,Tm,Detail,DEN,KAN
0,1.0,Broncos,David Treadwell 37 yard field goal,3,0
1,2.0,Chiefs,Christian Okoye 7 yard rush (Nick Lowery kick),3,7
2,2.0,Broncos,Gaston Green 60 yard rush (David Treadwell kick),10,7
3,2.0,Chiefs,Nick Lowery 19 yard field goal,10,10
4,3.0,Chiefs,Nick Lowery 27 yard field goal,10,13
5,3.0,Broncos,Mark Jackson 29 yard pass from John Elway (David Treadwell kick),17,13
6,3.0,Broncos,Charles Dimry 26 yard interception return (David Treadwell kick),24,13
7,4.0,Chiefs,Tim Barnett 8 yard pass from Mark Vlasic (Nick Lowery kick),24,20
