,Quarter,Time,Tm,Detail,DEN,SEA
0,1.0,11:54,Seahawks,Shaun Alexander 60 yard rush (Rian Lindell kick),0,7
1,1.0,5:41,Seahawks,Rian Lindell 44 yard field goal,0,10
2,2.0,14:48,Seahawks,Reggie Tongue 55 yard interception return (Rian Lindell kick),0,17
3,2.0,6:18,Broncos,Eddie Kennison 8 yard pass from Brian Griese (Jason Elam kick),7,17
4,2.0,3:14,Seahawks,Shaun Alexander 1 yard rush (Rian Lindell kick),7,24
5,2.0,0:09,Broncos,Rod Smith 1 yard pass from Brian Griese (Jason Elam kick),14,24
6,3.0,5:34,Seahawks,Alex Bannister 9 yard blocked punt return (Rian Lindell kick),14,31
7,4.0,11:21,Seahawks,Rian Lindell 23 yard field goal,14,34
8,4.0,1:40,Broncos,Deltha O'Neal 86 yard punt return (Jason Elam kick),21,34
