,Quarter,Tm,Detail,WAS,MIA
0,1.0,Dolphins,Jimmy Cefalo 76 yard pass from David Woodley (Uwe von Schamann kick),0,7
1,2.0,Redskins,Mark Moseley 31 yard field goal,3,7
2,2.0,Dolphins,Uwe von Schamann 20 yard field goal,3,10
3,2.0,Redskins,Alvin Garrett 4 yard pass from Joe Theismann (Mark Moseley kick),10,10
4,2.0,Dolphins,Fulton Walker 98 yard kickoff return (Uwe von Schamann kick),10,17
5,3.0,Redskins,Mark Moseley 20 yard field goal,13,17
6,4.0,Redskins,John Riggins 43 yard rush (Mark Moseley kick),20,17
7,4.0,Redskins,Charlie Brown 6 yard pass from Joe Theismann (Mark Moseley kick),27,17
