,Quarter,Tm,Detail,SFO,BAL
0,1.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),7,0
1,1.0,Colts,Johnny Unitas 4 yard rush (Steve Myhra kick),7,7
2,2.0,49ers,Y.A. Tittle 3 yard rush,13,7
3,2.0,49ers,Hugh McElhenny 1 yard rush (Gordie Soltau kick),20,7
4,2.0,49ers,Matt Hazeltine 13 yard interception return (Gordie Soltau kick),27,7
5,3.0,Colts,Alan Ameche 1 yard rush (Steve Myhra kick),27,14
6,4.0,Colts,Alan Ameche 1 yard rush (Steve Myhra kick),27,21
7,4.0,Colts,Lenny Moore 73 yard rush (Steve Myhra kick),27,28
8,4.0,Colts,Raymond Berry 7 yard pass from Johnny Unitas (Steve Myhra kick),27,35
